model	degradation	region_degraded	scored_on	n_images	mean_spearman	median_spearman	mean_relative_drop	pct_strongly_monotonic
liqe	blur	frame	crop	236	-0.9966	-1.0	0.705	99.6
liqe	blur	frame	full	236	-0.9996	-1.0	0.415	100.0
liqe	blur	subject	crop	236	-0.978	-1.0	0.539	96.2
liqe	blur	subject	full	236	-0.9254	-1.0	0.1495	94.9
liqe	motion	frame	crop	236	-0.9979	-1.0	0.7618	99.6
liqe	motion	frame	full	236	-0.9996	-1.0	0.6467	100.0
liqe	motion	subject	crop	236	-0.9945	-1.0	0.7218	100.0
liqe	motion	subject	full	236	-0.9767	-1.0	0.2977	97.5
liqe	noise	frame	crop	236	-0.9818	-1.0	0.4328	97.0
liqe	noise	frame	full	236	-0.8356	-0.9	0.0936	74.2
liqe	noise	subject	crop	236	-0.9758	-1.0	0.3923	94.9
liqe	noise	subject	full	236	-0.6627	-0.9	0.0224	54.2
topiq	blur	frame	crop	236	-1.0	-1.0	0.7335	100.0
topiq	blur	frame	full	236	-1.0	-1.0	0.4708	100.0
topiq	blur	subject	crop	236	-0.9517	-1.0	0.3495	92.8
topiq	blur	subject	full	236	-0.9165	-1.0	0.1203	89.0
topiq	motion	frame	crop	236	-0.9987	-1.0	0.8155	100.0
topiq	motion	frame	full	236	-1.0	-1.0	0.5674	100.0
topiq	motion	subject	crop	236	-0.9856	-1.0	0.5216	97.9
topiq	motion	subject	full	236	-0.9581	-1.0	0.1671	91.9
topiq	noise	frame	crop	236	-0.9966	-1.0	0.3751	100.0
topiq	noise	frame	full	236	-0.972	-1.0	0.1312	96.2
topiq	noise	subject	crop	236	-0.9945	-1.0	0.2891	100.0
topiq	noise	subject	full	236	-0.9258	-1.0	0.0413	88.6
arniqa	blur	frame	crop	236	-0.8733	-0.9	0.4478	75.8
arniqa	blur	frame	full	236	-0.8475	-1.0	0.2072	75.8
arniqa	blur	subject	crop	236	-0.5047	-0.7	0.0936	49.2
arniqa	blur	subject	full	236	-0.3398	-0.7	0.0238	44.9
