model	degradation	subject_full_frame_drop	subject_crop_drop	crop_sensitivity_ratio	whole_frame_control_drop	spearman_subject_full	spearman_subject_crop	spearman_whole_frame	n_images	long_edge	crop_variant	image_ids_file
liqe	blur	0.1495	0.539	3.61	0.415	-0.9254	-0.978	-0.9996	236	512	crop	reports/bird-crop/study_image_ids.txt
liqe	motion	0.2977	0.7218	2.42	0.6467	-0.9767	-0.9945	-0.9996	236	512	crop	reports/bird-crop/study_image_ids.txt
liqe	noise	0.0224	0.3923	17.51	0.0936	-0.6627	-0.9758	-0.8356	236	512	crop	reports/bird-crop/study_image_ids.txt
topiq	blur	0.1203	0.3495	2.91	0.4708	-0.9165	-0.9517	-1.0	236	512	crop	reports/bird-crop/study_image_ids.txt
topiq	motion	0.1671	0.5216	3.12	0.5674	-0.9581	-0.9856	-1.0	236	512	crop	reports/bird-crop/study_image_ids.txt
topiq	noise	0.0413	0.2891	7.0	0.1312	-0.9258	-0.9945	-0.972	236	512	crop	reports/bird-crop/study_image_ids.txt
arniqa	blur	0.0238	0.0936	3.93	0.2072	-0.3398	-0.5047	-0.8475	236	512	crop	reports/bird-crop/study_image_ids.txt
arniqa	motion	0.0369	0.1385	3.75	0.4347	-0.386	-0.5267	-0.9564	236	512	crop	reports/bird-crop/study_image_ids.txt
arniqa	noise	0.0114	0.1345	11.8	0.0433	-0.414	-0.8119	-0.553	236	512	crop	reports/bird-crop/study_image_ids.txt
laplacian_variance	blur	0.2405	0.7612	3.17	0.9473	-1.0	-0.9919	-1.0	236	512	crop	reports/bird-crop/study_image_ids.txt
laplacian_variance	motion	0.2143	0.7071	3.3	0.8369	-1.0	-0.9996	-1.0	236	512	crop	reports/bird-crop/study_image_ids.txt
laplacian_variance	noise	0.0033	0.0	0.0	0.0062	0.0326	0.9958	0.597	236	512	crop	reports/bird-crop/study_image_ids.txt
tenengrad	blur	0.142	0.6568	4.63	0.6279	-1.0	-1.0	-1.0	236	512	crop	reports/bird-crop/study_image_ids.txt
tenengrad	motion	0.1315	0.5843	4.44	0.5761	-1.0	-1.0	-1.0	236	512	crop	reports/bird-crop/study_image_ids.txt
tenengrad	noise	0.0144	0.0073	0.51	0.045	-0.9237	0.422	-0.7186	236	512	crop	reports/bird-crop/study_image_ids.txt
dog_energy	blur	0.0584	0.5137	8.8	0.3024	-1.0	-1.0	-1.0	236	512	crop	reports/bird-crop/study_image_ids.txt
dog_energy	motion	0.0639	0.4166	6.52	0.3268	-1.0	-1.0	-0.9979	236	512	crop	reports/bird-crop/study_image_ids.txt
dog_energy	noise	0.004	0.0019	0.47	0.0128	-0.5758	0.7208	0.0013	236	512	crop	reports/bird-crop/study_image_ids.txt
haar_energy	blur	0.0545	0.3925	7.2	0.2947	-1.0	-1.0	-1.0	236	512	crop	reports/bird-crop/study_image_ids.txt
haar_energy	motion	0.0564	0.3579	6.35	0.3058	-1.0	-1.0	-0.9979	236	512	crop	reports/bird-crop/study_image_ids.txt
haar_energy	noise	0.0019	0.0002	0.11	0.0054	-0.0242	0.9775	0.4979	236	512	crop	reports/bird-crop/study_image_ids.txt
