image_id,file_path,stack_id,rating,label,cull_decision,picked_or_rejected,clip_quality_v0,clip_focus_v0,clip_exposure_v0,clip_noise_v0,clip_misshot_v0,clip_composition_v0,clip_wildlife_quality_v0,clip_quality_v0__margin,clip_focus_v0__margin,clip_exposure_v0__margin,clip_noise_v0__margin,clip_misshot_v0__margin,clip_composition_v0__margin,clip_wildlife_quality_v0__margin,top_positive_prompt,top_negative_prompt,clip_quality_v0__pos_sim,clip_focus_v0__pos_sim,clip_exposure_v0__pos_sim,clip_noise_v0__pos_sim,clip_misshot_v0__pos_sim,clip_composition_v0__pos_sim,clip_wildlife_quality_v0__pos_sim,clip_quality_v0__neg_sim,clip_focus_v0__neg_sim,clip_exposure_v0__neg_sim,clip_noise_v0__neg_sim,clip_misshot_v0__neg_sim,clip_composition_v0__neg_sim,clip_wildlife_quality_v0__neg_sim,prompt_set_version,space
607,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6332.NEF,2464,3,Green,pick,neutral,0.5791,0.6594,0.7549,0.4913,0.2277,0.6461,0.1393,0.0032,0.0066,0.0112,-0.0003,-0.0122,0.006,-0.0182,natural colors,out of focus,0.2181,0.2267,0.2237,0.2181,0.201,0.2209,0.2087,0.2149,0.2201,0.2125,0.2184,0.2132,0.2149,0.2269,v0,clip_vit_b32_image
608,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6333.NEF,2464,3,Green,pick,neutral,0.5626,0.616,0.7551,0.3199,0.2208,0.6963,0.1622,0.0025,0.0047,0.0113,-0.0075,-0.0126,0.0083,-0.0164,natural colors,out of focus,0.2152,0.224,0.2207,0.2119,0.1973,0.2192,0.1977,0.2127,0.2193,0.2095,0.2194,0.2099,0.2109,0.2142,v0,clip_vit_b32_image
609,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6334.NEF,,3,Green,neutral,neutral,0.5505,0.5716,0.699,0.2208,0.2223,0.6702,0.1521,0.002,0.0029,0.0084,-0.0126,-0.0125,0.0071,-0.0172,natural colors,out of focus,0.2152,0.2215,0.2186,0.2094,0.1975,0.2194,0.1991,0.2132,0.2186,0.2102,0.222,0.21,0.2123,0.2163,v0,clip_vit_b32_image
610,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6335.NEF,2462,3,Blue,pick,neutral,0.6681,0.6746,0.8134,0.3864,0.2832,0.7208,0.2382,0.007,0.0073,0.0147,-0.0046,-0.0093,0.0095,-0.0116,natural colors,out of focus,0.2108,0.2202,0.2132,0.2054,0.1924,0.2143,0.1905,0.2039,0.2129,0.1984,0.2101,0.2017,0.2048,0.2021,v0,clip_vit_b32_image
611,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6336.NEF,2462,3,Blue,pick,neutral,0.7222,0.7426,0.8375,0.4194,0.3228,0.7786,0.3179,0.0096,0.0106,0.0164,-0.0033,-0.0074,0.0126,-0.0076,natural colors,out of focus,0.2066,0.2168,0.2089,0.2015,0.1871,0.2109,0.1868,0.1971,0.2062,0.1925,0.2048,0.1945,0.1984,0.1944,v0,clip_vit_b32_image
612,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6337.NEF,,3,Yellow,neutral,neutral,0.3834,0.4615,0.7102,0.129,0.1546,0.3917,0.1492,-0.0048,-0.0015,0.009,-0.0191,-0.017,-0.0044,-0.0174,good dynamic range,misfocused,0.2042,0.2091,0.2134,0.1987,0.1982,0.2035,0.2042,0.209,0.2106,0.2044,0.2178,0.2152,0.2079,0.2216,v0,clip_vit_b32_image
613,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6338.NEF,2460,3,Green,reject,neutral,0.4867,0.6435,0.6742,0.1786,0.5217,0.4876,0.4832,-0.0005,0.0059,0.0073,-0.0153,0.0009,-0.0005,-0.0007,well focused,out of focus,0.2133,0.2229,0.2083,0.201,0.2211,0.2062,0.2286,0.2138,0.217,0.201,0.2162,0.2202,0.2067,0.2293,v0,clip_vit_b32_image
614,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6339.NEF,2460,4,Blue,pick,picked,0.5128,0.6631,0.7257,0.2046,0.5323,0.5016,0.4899,0.0005,0.0068,0.0097,-0.0136,0.0013,0.0001,-0.0004,well focused,out of focus,0.2152,0.2252,0.2132,0.2049,0.2206,0.2093,0.2268,0.2147,0.2185,0.2035,0.2185,0.2193,0.2092,0.2272,v0,clip_vit_b32_image
615,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6340.NEF,17624,4,Blue,pick,picked,0.5205,0.7367,0.7492,0.2625,0.5297,0.4905,0.4094,0.0008,0.0103,0.0109,-0.0103,0.0012,-0.0004,-0.0037,well focused,out of focus,0.2173,0.2318,0.2183,0.2109,0.2247,0.2132,0.2329,0.2165,0.2216,0.2074,0.2212,0.2235,0.2136,0.2365,v0,clip_vit_b32_image
616,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6341.NEF,2460,3,Blue,pick,neutral,0.5168,0.7199,0.7201,0.2088,0.5386,0.4864,0.5003,0.0007,0.0094,0.0095,-0.0133,0.0015,-0.0005,0.0,well focused,out of focus,0.2088,0.2197,0.2065,0.1988,0.2143,0.2032,0.2195,0.2081,0.2102,0.197,0.2122,0.2127,0.2038,0.2194,v0,clip_vit_b32_image
617,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6342.NEF,17624,3,Green,pick,neutral,0.5749,0.7938,0.7384,0.1776,0.631,0.4707,0.5768,0.003,0.0135,0.0104,-0.0153,0.0054,-0.0012,0.0031,well focused,noisy,0.208,0.22,0.2023,0.1947,0.218,0.2017,0.227,0.2049,0.2065,0.192,0.21,0.2126,0.2029,0.2239,v0,clip_vit_b32_image
618,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6343.NEF,2460,4,Blue,pick,picked,0.4716,0.637,0.671,0.1651,0.4826,0.4899,0.4316,-0.0011,0.0056,0.0071,-0.0162,-0.0007,-0.0004,-0.0028,well focused,out of focus,0.2121,0.2226,0.2104,0.2033,0.218,0.2075,0.2269,0.2132,0.217,0.2033,0.2195,0.2187,0.2079,0.2297,v0,clip_vit_b32_image
619,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6344.NEF,17625,3,Green,pick,neutral,0.5159,0.5712,0.6789,0.2489,0.5204,0.434,0.3984,0.0006,0.0029,0.0075,-0.011,0.0008,-0.0027,-0.0041,well focused,out of focus,0.2053,0.2095,0.1986,0.1953,0.2115,0.1976,0.2304,0.2047,0.2067,0.1911,0.2063,0.2107,0.2002,0.2345,v0,clip_vit_b32_image
620,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6345.NEF,17623,3,Green,pick,neutral,0.5032,0.6323,0.7079,0.2043,0.5006,0.4639,0.3807,0.0001,0.0054,0.0089,-0.0136,0.0,-0.0014,-0.0049,well focused,out of focus,0.2038,0.2092,0.1974,0.1944,0.2101,0.1993,0.238,0.2037,0.2038,0.1885,0.2079,0.21,0.2007,0.2429,v0,clip_vit_b32_image
621,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6346.NEF,,3,Green,neutral,neutral,0.5561,0.7323,0.747,0.233,0.5613,0.496,0.5645,0.0023,0.0101,0.0108,-0.0119,0.0025,-0.0002,0.0026,detailed,noisy,0.2027,0.2105,0.199,0.1919,0.2089,0.1967,0.2176,0.2004,0.2004,0.1882,0.2038,0.2065,0.1969,0.215,v0,clip_vit_b32_image
622,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6347.NEF,17625,3,Blue,pick,neutral,0.5845,0.7386,0.72,0.2511,0.5184,0.4798,0.5509,0.0034,0.0104,0.0094,-0.0109,0.0007,-0.0008,0.002,well focused,out of focus,0.2044,0.2111,0.2008,0.1937,0.208,0.1974,0.217,0.201,0.2007,0.1914,0.2046,0.2072,0.1982,0.215,v0,clip_vit_b32_image
623,/mnt/d/Photos/Z6ii/28-400mm/2025/2025-11-18/DSC_6348.NEF,2458,3,Green,pick,neutral,0.5137,0.7203,0.7059,0.2033,0.4709,0.4625,0.5004,0.0005,0.0095,0.0088,-0.0137,-0.0012,-0.0015,0.0,good dynamic range,out of focus,0.2078,0.2149,0.2055,0.1976,0.2132,0.2019,0.2183,0.2072,0.2054,0.1967,0.2112,0.2144,0.2034,0.2183,v0,clip_vit_b32_image
