image_id,file_path,stack_id,rating,label,cull_decision,picked_or_rejected,clip_quality_v0,clip_focus_v0,clip_exposure_v0,clip_noise_v0,clip_misshot_v0,clip_composition_v0,clip_wildlife_quality_v0,clip_quality_v0__margin,clip_focus_v0__margin,clip_exposure_v0__margin,clip_noise_v0__margin,clip_misshot_v0__margin,clip_composition_v0__margin,clip_wildlife_quality_v0__margin,top_positive_prompt,top_negative_prompt,clip_quality_v0__pos_sim,clip_focus_v0__pos_sim,clip_exposure_v0__pos_sim,clip_noise_v0__pos_sim,clip_misshot_v0__pos_sim,clip_composition_v0__pos_sim,clip_wildlife_quality_v0__pos_sim,clip_quality_v0__neg_sim,clip_focus_v0__neg_sim,clip_exposure_v0__neg_sim,clip_noise_v0__neg_sim,clip_misshot_v0__neg_sim,clip_composition_v0__neg_sim,clip_wildlife_quality_v0__neg_sim,prompt_set_version,space
5512,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1253.NEF,,3,Green,neutral,neutral,0.7196,0.8547,0.8508,0.3467,0.2876,0.6797,0.3265,0.0094,0.0177,0.0174,-0.0063,-0.0091,0.0075,-0.0072,crisp details,misfocused,0.2145,0.2267,0.2194,0.2072,0.1975,0.2144,0.2256,0.2051,0.209,0.202,0.2136,0.2066,0.2069,0.2328,v0,clip_vit_b32_image
5514,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1276.NEF,,3,Green,neutral,neutral,0.5332,0.7611,0.689,0.2497,0.4054,0.6558,0.2987,0.0013,0.0116,0.008,-0.011,-0.0038,0.0064,-0.0085,natural colors,noisy,0.2205,0.226,0.2237,0.2149,0.2176,0.2233,0.253,0.2191,0.2144,0.2157,0.2259,0.2214,0.2168,0.2615,v0,clip_vit_b32_image
5516,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1278.NEF,13641,4,Blue,neutral,picked,0.564,0.7856,0.7305,0.3592,0.4386,0.7105,0.338,0.0026,0.013,0.01,-0.0058,-0.0025,0.009,-0.0067,natural colors,noisy,0.2262,0.2338,0.2303,0.2216,0.2245,0.2278,0.2657,0.2236,0.2208,0.2203,0.2273,0.227,0.2189,0.2725,v0,clip_vit_b32_image
5518,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1283.NEF,13641,4,Green,pick,picked,0.4751,0.6834,0.6628,0.2398,0.4121,0.6521,0.1866,-0.001,0.0077,0.0068,-0.0115,-0.0036,0.0063,-0.0147,a photo with strong subject separation,noisy,0.2188,0.2269,0.2216,0.2153,0.2199,0.2236,0.2597,0.2198,0.2192,0.2148,0.2268,0.2235,0.2173,0.2745,v0,clip_vit_b32_image
5522,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1293.NEF,13642,3,Green,pick,neutral,0.5215,0.6678,0.7782,0.2266,0.3685,0.7056,0.1627,0.0009,0.007,0.0125,-0.0123,-0.0054,0.0087,-0.0164,a photo with strong subject separation,noisy,0.214,0.2235,0.223,0.2118,0.2123,0.2198,0.2594,0.2132,0.2165,0.2105,0.2241,0.2176,0.2111,0.2757,v0,clip_vit_b32_image
5520,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1290.NEF,13642,3,Green,pick,neutral,0.4598,0.5947,0.7487,0.2293,0.3632,0.7085,0.1578,-0.0016,0.0038,0.0109,-0.0121,-0.0056,0.0089,-0.0167,natural colors,out of focus,0.2134,0.2212,0.222,0.2085,0.2124,0.2198,0.2569,0.215,0.2173,0.2111,0.2206,0.218,0.2109,0.2737,v0,clip_vit_b32_image
5526,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1316.NEF,,4,Green,neutral,picked,0.6002,0.6448,0.8231,0.5631,0.4967,0.8021,0.3,0.0041,0.006,0.0154,0.0025,-0.0001,0.014,-0.0085,good dynamic range,out of focus,0.2226,0.2305,0.226,0.2263,0.2171,0.229,0.2524,0.2186,0.2245,0.2106,0.2237,0.2172,0.215,0.2609,v0,clip_vit_b32_image
5524,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1309.NEF,13643,3,Green,pick,neutral,0.5314,0.7325,0.8338,0.2046,0.4932,0.6933,0.528,0.0013,0.0101,0.0161,-0.0136,-0.0003,0.0082,0.0011,well focused,out of focus,0.2107,0.2256,0.2143,0.209,0.2115,0.2153,0.2587,0.2095,0.2155,0.1981,0.2225,0.2118,0.2071,0.2576,v0,clip_vit_b32_image
5530,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1329.NEF,,3,Green,neutral,neutral,0.5888,0.7056,0.8035,0.222,0.5035,0.8052,0.244,0.0036,0.0087,0.0141,-0.0125,0.0001,0.0142,-0.0113,good dynamic range,out of focus,0.2153,0.2286,0.222,0.2113,0.2138,0.2231,0.2622,0.2117,0.2199,0.2079,0.2239,0.2136,0.2089,0.2735,v0,clip_vit_b32_image
5528,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1322.NEF,940,3,Green,pick,neutral,0.4124,0.3598,0.7528,0.1363,0.3419,0.6476,0.1289,-0.0035,-0.0058,0.0111,-0.0185,-0.0065,0.0061,-0.0191,natural colors,out of focus,0.2116,0.2185,0.2214,0.2066,0.2107,0.2183,0.2503,0.2151,0.2243,0.2103,0.2251,0.2172,0.2122,0.2694,v0,clip_vit_b32_image
5532,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1338.NEF,13644,4,Green,pick,picked,0.6878,0.779,0.8522,0.4462,0.4432,0.7125,0.3316,0.0079,0.0126,0.0175,-0.0022,-0.0023,0.0091,-0.007,crisp details,out of focus,0.2231,0.2333,0.2326,0.2178,0.2156,0.2251,0.2589,0.2152,0.2207,0.2151,0.2199,0.2179,0.216,0.2659,v0,clip_vit_b32_image
5534,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1344.NEF,13645,4,Green,pick,picked,0.6473,0.8367,0.8137,0.1949,0.5655,0.7118,0.4667,0.0061,0.0163,0.0147,-0.0142,0.0026,0.009,-0.0013,detailed,noisy,0.2097,0.22,0.2146,0.2017,0.2112,0.2093,0.2508,0.2037,0.2036,0.1999,0.2159,0.2085,0.2002,0.2521,v0,clip_vit_b32_image
5537,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1352.NEF,,3,Green,neutral,neutral,0.5309,0.4962,0.7434,0.5374,0.4403,0.6063,0.5451,0.0012,-0.0002,0.0106,0.0015,-0.0024,0.0043,0.0018,good dynamic range,misfocused,0.2123,0.21,0.2124,0.2082,0.2113,0.213,0.2176,0.2111,0.2101,0.2018,0.2067,0.2137,0.2087,0.2158,v0,clip_vit_b32_image
5533,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1339.NEF,13644,4,Green,neutral,picked,0.6383,0.7344,0.7822,0.372,0.333,0.6739,0.3112,0.0057,0.0102,0.0128,-0.0052,-0.0069,0.0073,-0.0079,crisp details,misfocused,0.2209,0.2315,0.2309,0.2175,0.2087,0.2239,0.2437,0.2152,0.2213,0.2181,0.2227,0.2157,0.2167,0.2517,v0,clip_vit_b32_image
5536,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1351.NEF,13646,3,Green,pick,neutral,0.4682,0.4861,0.7448,0.1869,0.2006,0.548,0.1676,-0.0013,-0.0006,0.0107,-0.0147,-0.0138,0.0019,-0.016,natural colors,noisy,0.2158,0.2186,0.2278,0.216,0.204,0.2174,0.2348,0.2171,0.2192,0.2171,0.2307,0.2178,0.2155,0.2508,v0,clip_vit_b32_image
5535,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1345.NEF,13645,4,Green,pick,picked,0.5831,0.7703,0.8479,0.1939,0.5107,0.7281,0.3181,0.0034,0.0121,0.0172,-0.0142,0.0004,0.0099,-0.0076,detailed,noisy,0.2093,0.2221,0.2172,0.2032,0.2101,0.211,0.2567,0.2059,0.21,0.2,0.2175,0.2097,0.2012,0.2643,v0,clip_vit_b32_image
5519,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1289.NEF,13642,3,Green,reject,neutral,0.4919,0.6834,0.763,0.2073,0.3671,0.7077,0.1832,-0.0003,0.0077,0.0117,-0.0134,-0.0054,0.0088,-0.0149,natural colors,noisy,0.2115,0.2216,0.2187,0.207,0.2102,0.2179,0.2568,0.2118,0.2139,0.207,0.2205,0.2157,0.2091,0.2717,v0,clip_vit_b32_image
5521,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1292.NEF,13642,3,Green,pick,neutral,0.4787,0.6653,0.7818,0.2103,0.3446,0.683,0.166,-0.0009,0.0069,0.0128,-0.0132,-0.0064,0.0077,-0.0161,a photo with strong subject separation,noisy,0.2133,0.2228,0.2238,0.2104,0.2119,0.2177,0.2569,0.2141,0.2159,0.211,0.2236,0.2183,0.21,0.273,v0,clip_vit_b32_image
5517,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1279.NEF,13641,4,Green,pick,picked,0.5382,0.7512,0.7391,0.2989,0.4685,0.646,0.3151,0.0015,0.011,0.0104,-0.0085,-0.0013,0.006,-0.0078,a photo with strong subject separation,noisy,0.2175,0.225,0.2208,0.2132,0.2207,0.2194,0.2604,0.216,0.2139,0.2103,0.2217,0.2219,0.2134,0.2682,v0,clip_vit_b32_image
5529,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1325.NEF,940,3,Green,pick,neutral,0.4488,0.516,0.7637,0.1051,0.3133,0.7019,0.2158,-0.0021,0.0006,0.0117,-0.0214,-0.0078,0.0086,-0.0129,natural colors,out of focus,0.2089,0.2191,0.2198,0.2035,0.2065,0.2183,0.2521,0.2109,0.2185,0.2081,0.2249,0.2143,0.2097,0.265,v0,clip_vit_b32_image
5513,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1265.NEF,,4,Green,neutral,picked,0.7057,0.8323,0.8088,0.4513,0.6148,0.7386,0.5357,0.0087,0.016,0.0144,-0.002,0.0047,0.0104,0.0014,balanced contrast,noisy,0.2331,0.2362,0.238,0.2272,0.2303,0.2353,0.2608,0.2244,0.2202,0.2236,0.2292,0.2256,0.2249,0.2594,v0,clip_vit_b32_image
5523,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1300.NEF,,4,Green,neutral,picked,0.4778,0.7451,0.6403,0.311,0.3989,0.7488,0.2372,-0.0009,0.0107,0.0058,-0.008,-0.0041,0.0109,-0.0117,a photo with strong subject separation,noisy,0.2184,0.2301,0.2213,0.221,0.2169,0.2271,0.2584,0.2193,0.2194,0.2155,0.229,0.221,0.2161,0.2701,v0,clip_vit_b32_image
5527,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1319.NEF,,3,Green,neutral,neutral,0.4904,0.3922,0.769,0.454,0.5223,0.8051,0.2076,-0.0004,-0.0044,0.012,-0.0018,0.0009,0.0142,-0.0134,good dynamic range,out of focus,0.2253,0.2331,0.2269,0.228,0.2228,0.2338,0.2608,0.2257,0.2375,0.2148,0.2298,0.2219,0.2196,0.2742,v0,clip_vit_b32_image
5531,/mnt/d/Photos/Z8/180-600mm/2025/2025-10-05/DSC_1337.NEF,13644,4,Green,pick,picked,0.6877,0.8225,0.8234,0.4152,0.3694,0.644,0.3581,0.0079,0.0153,0.0154,-0.0034,-0.0053,0.0059,-0.0058,good dynamic range,technically flawed,0.2212,0.2302,0.231,0.218,0.2093,0.2231,0.2327,0.2134,0.2149,0.2156,0.2215,0.2146,0.2172,0.2386,v0,clip_vit_b32_image
